id,date,latitude,longitude,priority,ambulance,start_time,TO_INCIDENT_duration,AT_INCIDENT_duration,TO_HOSPITAL_duration,AT_HOSPITAL_duration,TO_BASE_duration,OTHER_duration,hospital_latitude,hospital_longitude
27,2019-01-31 02:21:23.100,32.734434243356965,-117.12071394003056,,0,2019-01-31 02:23:02.100,0 days 00:01:40,0 days 00:06:48,0 days 00:00:16,0 days 00:07:55,0 days 00:02:20,0 days,32.736006,-117.127023
28,2019-01-31 02:27:05.100,32.756400551051705,-117.12978185189934,,2,2019-01-31 02:32:10.100,0 days 00:04:19,0 days 00:08:24,0 days 00:01:24,0 days 00:05:34,0 days 00:03:39,0 days,32.736006,-117.127023
29,2019-01-31 02:31:16.100,32.749953609743685,-117.15250762819124,,4,2019-01-31 02:34:02.100,0 days 00:01:05,0 days 00:06:01,0 days 00:01:49,0 days 00:05:28,0 days 00:02:11,0 days,32.736006,-117.127023
30,2019-01-31 02:35:53.100,32.746279690703986,-117.12422844278063,,3,2019-01-31 02:38:00.100,0 days 00:02:37,0 days 00:06:50,0 days 00:00:45,0 days 00:08:22,0 days 00:03:08,0 days,32.736006,-117.127023
31,2019-01-31 02:42:44.100,32.74093024978036,-117.11561948854208,,0,2019-01-31 02:42:44.100,0 days 00:01:20,0 days 00:06:16,0 days 00:00:26,0 days 00:05:33,0 days 00:02:20,0 days,32.736006,-117.127023
32,2019-01-31 02:48:54.100,32.808175397490174,-117.07029792699932,,1,2019-01-31 02:48:54.100,0 days 00:00:52,0 days 00:06:46,0 days 00:02:34,0 days 00:07:41,0 days 00:01:52,0 days,32.776485,-117.09868
33,2019-01-31 02:54:29.100,32.81460599525533,-117.1043716166594,,4,2019-01-31 02:54:29.100,0 days 00:04:52,0 days 00:05:17,0 days 00:02:34,0 days 00:07:31,0 days 00:03:31,0 days,32.776485,-117.09868
34,2019-01-31 03:00:14.100,32.795048645573104,-117.13218145349484,,3,2019-01-31 03:00:14.100,0 days 00:01:19,0 days 00:05:02,0 days 00:02:12,0 days 00:08:14,0 days 00:01:27,0 days,32.776485,-117.09868
35,2019-01-31 03:04:56.100,32.73349950602445,-117.151036734215,,0,2019-01-31 03:04:56.100,0 days 00:03:33,0 days 00:06:25,0 days 00:01:24,0 days 00:08:09,0 days 00:02:20,0 days,32.736006,-117.127023
36,2019-01-31 03:11:31.100,32.79219233320744,-117.02824526544411,,1,2019-01-31 03:11:31.100,0 days 00:02:40,0 days 00:07:54,0 days 00:04:14,0 days 00:09:56,0 days 00:01:52,0 days,32.776485,-117.09868
37,2019-01-31 03:15:20.100,32.8030331122643,-117.136437345937,,2,2019-01-31 03:15:20.100,0 days 00:07:08,0 days 00:07:53,0 days 00:02:59,0 days 00:09:17,0 days 00:04:16,0 days,32.776485,-117.09868
38,2019-01-31 03:19:47.100,32.722233014703214,-117.0696211218356,,3,2019-01-31 03:19:47.100,0 days 00:05:13,0 days 00:07:15,0 days 00:01:18,0 days 00:07:00,0 days 00:05:45,0 days,32.724462,-117.048276
39,2019-01-31 03:26:32.100,32.77639928504893,-117.11399760451036,,4,2019-01-31 03:26:32.100,0 days 00:02:41,0 days 00:07:00,0 days 00:00:55,0 days 00:09:10,0 days 00:03:31,0 days,32.776485,-117.09868
40,2019-01-31 03:32:40.100,32.78407219064325,-117.02861363254137,,0,2019-01-31 03:32:40.100,0 days 00:04:51,0 days 00:08:32,0 days 00:04:10,0 days 00:09:37,0 days 00:02:47,0 days,32.776485,-117.09868
